Epoch,Train Loss,Train Accuracy (%),Val Loss,Val Accuracy (%),Time (s)
Epoch 1/10,0.4104,80.58%,0.3451,84.39%,79.84s
Epoch 2/10,0.3625,83.17%,0.3322,85.15%,51.51s
Epoch 3/10,0.3519,83.90%,0.3312,84.87%,51.43s
Epoch 4/10,0.3454,84.10%,0.3187,85.47%,51.84s
Epoch 5/10,0.3409,84.18%,0.3166,85.61%,51.05s
Epoch 6/10,0.3356,84.63%,0.3120,86.29%,49.49s
Epoch 7/10,0.3302,84.71%,0.3179,86.50%,48.93s
Epoch 8/10,0.3279,85.10%,0.3081,86.10%,48.82s
Epoch 9/10,0.3239,85.19%,0.3156,86.19%,48.81s
Epoch 10/10,0.3229,85.40%,0.3074,86.57%,47.01s
